Component,Dataset,Name,Description,Raster_Val
SLSRA,SLSRA_SSSI,SLSRA_SSSI_2,SSSI,1
SLSRA,SLSRA_SWT,SLSRA_SWT_2,SWT Reserve,1
SLSRA,SLSRA_WLA,SLSRA_WLA_2,Wild Land Areas,1
Water,Water_Lakes,Water_Lakes_1,Pond,5
Water,Water_Lakes,Water_Lakes_2,Lochan,1
Water,Water_Lakes,Water_Lakes_3,Small Lochs,4
Water,Water_Lakes,Water_Lakes_4,Medium Lochs,2
Water,Water_Lakes,Water_Lakes_5,Large Lochs,3
Water,Water_Lakes,Water_Lakes_6,Major Lochs,6
Water,Water_Rivers,Water_Rivers_1,Minor river or tributary,1
Water,Water_Rivers,Water_Rivers_2,Unnamed minor stream or tributary,2
Water,Water_Rivers,Water_Rivers_3,Major river or tributary,3
Water,Water_Rivers,Water_Rivers_4,Named minor stream or tributary,4
Water,Water_Rivers,Water_Rivers_5,Lake,5
Water,Water_Rivers,Water_Rivers_6,Tidal river or estuary,6
Water,Water_Rivers,Water_Rivers_7,Canal,7
